id,input_path,state_type,state_name,log_path,memory_gi,deployment_name,work_pool_name,area
346d3cbe-5b58-49c4-a97d-ba36838e2c33,,COMPLETED,Completed,,,,,
bdcf45a2-4512-46ea-8ab0-8fef812e61a1,/nas/Projects/C-BIZ01A/Planet/KARI/20230907_011505_92_24ab_3B_AnalyticMS_SR.tif,COMPLETED,Completed,,64.0,SkySat-SR-RGBN,modint-prefect-workpool-2,113049960.0
4b60f20e-d1c9-4bcb-90cd-f42f841dab8b,,COMPLETED,Completed,,,,,
abfe6fa0-cdd7-4cae-bca9-0ec65e04bb39,/nas/Projects/C-BIZ01A/Planet/KARI/20230906_021656_74_2481_3B_AnalyticMS_SR.tif,COMPLETED,Completed,,64.0,SkySat-SR-RGBN,modint-prefect-workpool-2,103939795.0
f3ca8121-c30c-4343-b21b-240045e3e08e,,COMPLETED,Completed,,,,,
5a5c3cb2-3be3-4058-a455-c307843c0c07,/nas/Projects/C-BIZ01A/Planet/KARI/20230907_012623_95_24b3_3B_AnalyticMS_SR.tif,COMPLETED,Completed,,64.0,SkySat-SR-RGBN,modint-prefect-workpool-2,118538826.0
bb109319-032d-47b9-8a1b-dcbd533647e2,,COMPLETED,Completed,,,,,
8c7f0d40-5977-4cda-b7d6-24dd64a53d6c,,COMPLETED,Completed,,,,,
7bd48389-15c5-4fdf-b7ec-17b8a2e9e753,,COMPLETED,Completed,,,,,
846cd67c-ff4e-404c-8476-87765a62a743,,COMPLETED,Completed,,,,,
01335eda-091e-4b06-a599-bdc6c5d0d98b,,COMPLETED,Completed,,,,,
f3c1b1bb-38cc-47cf-b36b-56fc03da245f,,COMPLETED,Completed,,,,,
8d85e2c5-d09f-4054-8837-02bbf6c2b44c,/nas/Dataset/s3/sia_aws_s3/sia-paxsapiens/raw/G-NKI01A/Planet/Yongbyon/20240324_DPRK_NFC_Yongbyon_arc_skysatscene_pansharpened_udm2/composite.tif,COMPLETED,Completed,,,EO-Detection-Ship,modint-prefect-workpool-2,162872100.0
